編號	地址
61155 >>> 新北市三重區中正北路136號1樓
61157 >>> 新北市三重區長壽西街142號
61160 >>> 新北市泰山區明志路二段11號1樓
61175 >>> 新北市五股區四維路73號
61176 >>> 新北市三芝區公正街三段4號
61183 >>> 新北市樹林區東順街107號
61184 >>> 新北市樹林區忠信街14號5樓
61191 >>> 新北市林口區林口路92-1號1樓
61194 >>> 新北市林口區民權路24號
61198 >>> 新北市林口區中正路325號
61205 >>> 新北市石門區富基里楓林64-1號
61244 >>> 桃園市龍潭區高原里大庒3號
61250 >>> 桃園市龍潭區大北坑接1371巷29號
61251 >>> 桃園市龍潭區聖亭路八德段349巷1998號
61255 >>> 新北市淡水區中正路46號2樓
61258 >>> 新北市淡水區中正路286號1號
61259 >>> 新北市淡水區番薯里水碓5號
61262 >>> 桃園市平鎮區中豐路南勢二段90巷22號1樓
61264 >>> 桃園市平鎮區崇德街24巷22號
61279 >>> 桃園市平鎮區民族路127-1號
61284 >>> 高雄市平鎮區廣德街35號
61302 >>> 新北市樹林區啟智街173巷2號
61303 >>> 桃園市龜山區忠義路一段828-1號
61308 >>> 桃園市桃園區春日路232號2樓
61331 >>> 桃園市楊梅區楊新北路170號
61333 >>> 桃園市中壢市大同路第一市場94號
61335 >>> 桃園市蘆竹區坑子里貓尾崎1號
61336 >>> 桃園市新屋區新文路1227巷163號
61339 >>> 桃園市復興區三民村圓山1-4號
61343 >>> 桃園市復興區三民里丸山1-4號
61344 >>> 桃園市復興區羅浮里高坡30之3號
61345 >>> 桃園市復興區華陵里上巴陵129號
61349 >>> 桃園市龜山區復興一路8號2樓
61353 >>> 桃園市中壢區高鐵北路一段5號B1連通層
61354 >>> 台北市松山區復興南路一段39號2樓
61384 >>> 桃園市大園區和平二街132號1樓
61398 >>> 桃園市中壢區中北路二段62號
61410 >>> 台中市東區台中路129號
61412 >>> 台中市東區進德路79號
61434 >>> 台中市西區三民路一段151號
61446 >>> 台中市北屯區北屯路469號
61449 >>> 台中市西屯區台灣大道三段251號B2
61452 >>> 台中市北區文昌東二街10號
61455 >>> 台中市西區五權路2-96號
61464 >>> 台中市西屯區中工二路292號
61495 >>> 台中市西屯區台灣大道三段301號B2
61497 >>> 台中市南屯區大墩路740號
61498 >>> 台中市西區向上北路137號
61523 >>> 台中市東勢區中山路2號1樓
61524 >>> 台中市神岡區五權路77號
61528 >>> 台中市南區文心南路888-10號
61542 >>> 台中市西屯區黎明路三段53號
61543 >>> 台中市大雅區雅環路二段279號
61553 >>> 台中市豐原區惠陽街91號
61558 >>> 台中市大甲區水源路1號
61560 >>> 台中市北區三民路三段161號B棟B2
61563 >>> 台中市西屯區台灣大道三段301號B2
61583 >>> 台中市西屯區逢甲路227-3號2樓
61586 >>> 台中市西屯區櫻花路106號
61587 >>> 台中市西屯區寧夏路228號
61593 >>> 台中市西屯區漢口路三段106號
61594 >>> 台中市南屯區大墩路533號
61596 >>> 台中市龍井區遊園南路269巷56號
61598 >>> 台中市潭子區大富路一段2巷2-3號
61620 >>> 台中市北屯區興安路二段47號
61634 >>> 台中市南屯區文心路一段521號3樓
61650 >>> 台中市北屯區文心路三段1027號
61656 >>> 台中市霧峰區峰谷路360號
61662 >>> 台中市霧峰區中正路1006號
61663 >>> 台中市大里區科技路1-27號1樓
61666 >>> 台中市神岡區中山路69號1樓
61668 >>> 台中市石岡區豐勢路9房巷38號
61669 >>> 台中市太平區長億六街39號
61680 >>> 台中市西屯區台灣大道三段251號B2
61682 >>> 台中市北屯區中清路二段742巷83號
61683 >>> 台中市新社區興社街四段11巷8號45號
61685 >>> 台中市東勢區豐勢路293號
61688 >>> 台中市豐原區圓環北路二段311號
61691 >>> 台中市和平區中正路78號之3號
61699 >>> 台中市和平區和平路二段新佳陽(梨山中橫73.3K)
61706 >>> 台中市北區博館路88號
61715 >>> 台中市豐原區成功路738號
61726 >>> 台中市豐原區復興路2號
61734 >>> 台中市大肚區沙田路二段728號
61749 >>> 台中市大里區國光路二段259號3樓之3
61751 >>> 台中市大里區永大街65號
61762 >>> 台中市北區三民路三段161號
61763 >>> 台中市梧棲區四維路71巷6號
61765 >>> 台中市大肚區遊園路二段179號
61770 >>> 台中市大雅區雅潭路四段495號
61771 >>> 台中市大雅區雅潭路四段528號
61774 >>> 台中市潭子區長生巷41-20號
61776 >>> 台中市沙鹿區北勢東路888號1樓
61783 >>> 台中市梧棲區臨港路四段882巷9號
61792 >>> 台中市西屯區台灣大道三段251號B2
61802 >>> 台中市烏日區興祥街70巷5號1樓
61808 >>> 台中市神岡區中山路261號
61812 >>> 台中市神岡區中山路45號
61822 >>> 台中市豐原區西勢路222號
61824 >>> 台中市龍井區新興路3號之1
61827 >>> 台中市西區精誠路209號
61828 >>> 台中市西區公益路68號 B1
61839 >>> 台南市永康區中山南路502號1樓
61840 >>> 台南市中西區赤嵌街13號1樓
61844 >>> 台南市中西區民權路二段36-1號
61866 >>> 台南市中西區西門路一段658號
61877 >>> 台南市中西區金華路三段188號
61880 >>> 台南市安南區國安街22號
61893 >>> 台南市安平區建平路283號
61896 >>> 台南市永康區中正北路71巷22號
61901 >>> 台南市安南區長溪路一段109號
61924 >>> 台南市東區中華東路一段366號B1
61935 >>> 台南市北區大興街565巷23弄8號
61936 >>> 台南市新市區三舍里107號
61937 >>> 台南市永康區中山南路195巷25號
61949 >>> 台南市中西區中山路162號B2
61953 >>> 台中市北區大興街565巷12號
61984 >>> 台南市麻豆區中山路167號
61987 >>> 台南市安平區育平九街247號
61995 >>> 台南市歸仁區中山路三段101號
62000 >>> 台南市東山區聖賢里頂窩66號
62019 >>> 台南市關廟區仁愛路12號
62023 >>> 高雄市中華五路789號5樓
62039 >>> 新市區仁愛街24號
62040 >>> 台南市後壁區頂安里頂寮105之4號
62047 >>> 台南市新營區博愛街108號
62051 >>> 台南市東山區南溪里34號
62058 >>> 台南市白河區虎山里木屐寮73-3號
62064 >>> 台南市新營區建業路102號
62071 >>> 高雄市鹽埕區七賢三路104號
