編號	地址
58379 >>> 新北市新莊區西盛街428號1樓
58382 >>> 新北市新莊區後港一路56巷11號
58383 >>> 新北市新莊區萬安街76號
58386 >>> 新北市泰山區明志路一段416號
58396 >>> 新北市鶯歌區鶯桃路247號
58398 >>> 桃園市中壢區成章二路580號
58400 >>> 桃園市桃園區民生路442號
58402 >>> 桃園市桃園區永安路530號
58409 >>> 桃園市桃園區大同西路126號
58414 >>> 桃園市桃園區龍壽街68號
58415 >>> 桃園市桃園區慈文路119號1樓
58419 >>> 桃園市中壢區同慶路273號1樓
58422 >>> 新北市三峽區中正路二段458-3號
58424 >>> 桃園市桃園區永安路954號
58441 >>> 桃園市大園區埔心村海豐坡1之14號
58445 >>> 新北市五股區民義路一段138號
58446 >>> 新北市蘆洲區仁美街117號
58447 >>> 新北市三重區溪尾街136號
58456 >>> 新北市五股區成泰路三段443號 
58460 >>> 南投縣埔里鎮中山路二段135-2號
58466 >>> 桃園市平鎮區育達路二段84號1樓
58471 >>> 桃園市中壢區龍東路58號
58490 >>> 桃園市中壢區環北路553號
58498 >>> 桃園市中壢區中豐北路二段399號
58517 >>> 桃園市中壢區過嶺路70之59號
58525 >>> 桃園市桃園區文中路277號
58534 >>> 新北市淡水區淡金路一段150號
58575 >>> 桃園市大溪區中央路167號
58584 >>> 桃園市龍潭區三坑村11鄰25號之1
58594 >>> 桃園市中壢區龍平里龍東路340號
58603 >>> 桃園市觀音區忠愛路一段331號
58607 >>> 桃園市中壢區中山東路三段186號1樓
58623 >>> 桃園市觀音區上大里上福路58號
58642 >>> 桃園市桃園區大有路928號1樓
58677 >>> 桃園市楊梅區楊新北路6號
58700 >>> 新竹縣關西鎮老街20號之2
58710 >>> 桃園市桃園區永安路546號
58727 >>> 台中市北區中清路一段727號
58748 >>> 台中市太平區永豐路30-1號
58764 >>> 台中市大里區工業九路412號7號
58765 >>> 台中市北區中清路一段737號
58767 >>> 台中市南區復興路一段160號
58770 >>> 台中市東區十甲東路496號
58773 >>> 台中市西屯區西屯路三段79號
58778 >>> 台中市西屯區廣福路85號之3
58785 >>> 台中市南屯區南屯路二段635號
58786 >>> 台中市北屯區昌平路一段38號
58797 >>> 台中市北屯區豐樂路3號
58799 >>> 台中市西屯區中工三路110號
58802 >>> 台中市南屯區南屯路二段736號
58806 >>> 台中市大雅區中山一路25號之10
58812 >>> 台中市豐原區中正路95號
58814 >>> 台中市豐原區西勢路308號
58816 >>> 台中市西屯區福雅路389號
58818 >>> 台中市北區西屯路一段368號
58823 >>> 高雄市大雅區民生路一段229號
58826 >>> 台中市大雅區中清路四段230號
58827 >>> 台中市大甲區中山路一段973號
58832 >>> 台中市西屯區大恩街18號
58838 >>> 台中市南屯區南屯路二段706號
58839 >>> 台中市西屯區西屯路二段269-26號
58852 >>> 台中市西屯區天保街71巷11號
58856 >>> 台中市西屯區逢甲路19巷19號A29-2
58857 >>> 台中市南區美村南路185號1樓
58858 >>> 台中市南區台中路330號
58868 >>> 台南市南區新和街190號
58875 >>> 台中市南屯區大英街622號
58886 >>> 台中市南屯區永春東七路739號
58892 >>> 台中市龍井區沙田路四段352號
58894 >>> 台中市大甲區民生路28號
58895 >>> 台中市清水區新興路37號
58896 >>> 台中市大甲區經國路1642號
58902 >>> 桃園市蘆竹區海湖里海湖146-9號1樓
58903 >>> 桃園市中壢區福德路41號
58904 >>> 台中市北區北平路二段57號
58934 >>> 台中市豐原區圓環東路418號
58942 >>> 台中市北屯區軍功路二段449之1號
58946 >>> 台中市北區德化街290號
58950 >>> 台中市太平區長龍路二段14號
58954 >>> 台中市東區樂業二路建國市場一樓
58956 >>> 台中市東區進德路160號
58958 >>> 台中市東區育英路82-13號
58965 >>> 台中市東區南京東路一段320號
58974 >>> 台中市東區十甲東路256號
58977 >>> 台南市南區瑞豐街14號
58981 >>> 台中市東區大勇街123號 
58992 >>> 台中市南區復興路二段71巷67號
58997 >>> 台中市南區復興路三段105號
59007 >>> 台中市南屯區大同街153號
59008 >>> 台中市大里區塗城路842號
59010 >>> 台中市潭子區中山路一段238號 
59018 >>> 台中市潭子區雅潭路二段14號
59020 >>> 台中市北屯區仁和里后庄路858號
59024 >>> 台中市北屯區昌平路二段3號
59025 >>> 台中市北區日進街30號
59027 >>> 台中市西屯區西平里西屯路二段284-15號
59028 >>> 台中市沙鹿區大同街68號
59030 >>> 台中市太平區長億一街1巷31號
59035 >>> 台中市豐原區忠孝街94號
59036 >>> 台中市豐原區朴子街54巷1號
59040 >>> 台中市西屯區西屯路三段56號
59043 >>> 台中市潭子區大德二路29號
59055 >>> 台中市后里區三線路24-10號
59064 >>> 台中市烏日區五光路1123號
59066 >>> 台中市大里區新仁七街64巷5號
59072 >>> 台中市大里區仁化路720號
59076 >>> 台中市大里區大衛路76號
59077 >>> 台中市大里區仁化路1123號
59080 >>> 台中市大里區塗城路735巷24號
59097 >>> 台中市豐原區三豐路二段265號
59099 >>> 台中市豐原區水源路613號
59100 >>> 台中市神岡區五權路41號
59106 >>> 高雄市神岡區中山路429號1191-3號
59110 >>> 台中市豐原區圓環東路136號
59111 >>> 台中市東勢區第一橫街79號
59112 >>> 高雄市神岡區中山路107號
59116 >>> 台中市霧峰區林森路781號
59118 >>> 台中市霧峰區中正路385號
59126 >>> 台中市烏日區溪南路三段9號
59128 >>> 台中市霧峰區四德路454號1樓
59146 >>> 彰化縣鹿港鎮萬壽路238號
59150 >>> 台中市清水區神清路6-13號
59155 >>> 台中市大雅區學府路156號
59165 >>> 台中市潭子區復興路二段29號
59171 >>> 台中市龍井區遊園南路300號
59173 >>> 台中市沙鹿區四平街157號
59190 >>> 台中市潭子區雅潭路二段62號對面
59192 >>> 台中市清水區和睦路二段350巷11號
59198 >>> 台中市大甲區順天路300號
59199 >>> 苗栗縣銅鑼鄉復興路41-2號
59201 >>> 台中市大甲區順天路18號
59206 >>> 苗栗縣卓蘭鎮上新里上新3之13號
59214 >>> 彰化縣和美鎮糖東二街一號
59215 >>> 台中市梧棲區中華路一段345號1樓
59223 >>> 台中市龍井區龍北路32號
59229 >>> 彰化縣彰化市安平街62號
59235 >>> 台中市龍井區中山一路一段43巷68號
59238 >>> 彰化縣和美鎮和厝路一段261巷1號
59239 >>> 彰化縣彰化市金馬路一段578號
59241 >>> 彰化縣和美鎮彰新路二段73號
59246 >>> 彰化縣和美鎮東萊路139號
59253 >>> 彰化縣和美鎮彰和路二段437號
59257 >>> 彰化縣福興鄉彰鹿路六段146號
59259 >>> 彰化縣和美鎮和頭路316號1樓
59263 >>> 台中市大雅區民生路三段22號
59264 >>> 台中市北屯區水景街119號
59265 >>> 台中市北屯區東山路一段200號1樓
59270 >>> 台中市清水區中華路513號
59282 >>> 台中市梧棲區台灣大道八段780號
59289 >>> 高雄市梧棲區福德街136號
59290 >>> 台中市沙鹿區大同街61號
59292 >>> 台中市清水區中央路50號
59294 >>> 高雄市梧棲區港埠路一段175號
59309 >>> 台南市中西區民權路一段150號
59312 >>> 台南市中西區文賢路191號
59321 >>> 台南市中西區民權路二段13號
59325 >>> 台南市中西區民權路一段194號
59326 >>> 台南市中西區建安街76號
59329 >>> 台南市中西區忠義路二段84巷23號
59330 >>> 台南市中西區民權路一段176號
59334 >>> 台南市中西區康樂街371號
59344 >>> 台南市中西區民族路三段125號
59345 >>> 台南市中西區民權路一段139號
59353 >>> 台南市中西區青年路83號
59355 >>> 台中市東區懷恩街20號
59356 >>> 台南市中西區和緯路五段213號1樓
59359 >>> 台南市中西區建安街77號
59361 >>> 台南市中西區民權路二段273號
59364 >>> 台南市南區大成路二段56巷23號
59367 >>> 台南市佳里區鎮山里94之81號
59368 >>> 台南市中西區開山路210號
59369 >>> 台中市北區北安路一段212巷40號
59377 >>> 台南市關廟區關新路一段606號
59401 >>> 台南市東區長榮路二段302號之3
59404 >>> 台中市北區自強街18號
59423 >>> 台南市永康區中華路661巷65號
59433 >>> 台中市東區仁和路112號
59435 >>> 台南市歸仁區中山路三段348號
59445 >>> 台南市後壁區新嘉里白沙屯66之4號1樓
59479 >>> 台中市清水區和睦路一段1092巷42號
59484 >>> 台中市沙鹿區中航路一段338號
59485 >>> 台中市大甲區光明路91號1樓
59486 >>> 台中市梧棲區中央路一段188-1號
59487 >>> 台中市南區大慶街二段6號之1
59494 >>> 台南市永康區民權路19號
59497 >>> 台南市永康區中山南路898號
59502 >>> 台南市永康區中山路46號
59506 >>> 台南市永康區中正路988號
59507 >>> 台南市永康區大灣路482號
59519 >>> 台南市新化區護安街38號
59520 >>> 台南市新化區中正路899號
59522 >>> 台南市新化區中山路268號
59523 >>> 台南市新營區復興路354號
59524 >>> 台南市官田區南廍里南34之6號
59544 >>> 台南市安南區府安路四段34巷43號
59570 >>> 台南市安定區海寮里海寮20-3號
59576 >>> 台南市東山區青山里青山152號1樓
59579 >>> 台南市仁德區正義路28號
59595 >>> 台南市仁德區中正路二段404號
59596 >>> 台南市後壁區仕安里下長29之2號
59602 >>> 台南市關廟區文衡路43號
59603 >>> 台南市仁德區保安路二段5號
59604 >>> 台中市大甲區文武路109號
59605 >>> 台中市大甲區文武路150號
59606 >>> 苗栗縣苑裡鎮山腳里6 鄰184號
59610 >>> 苗栗縣苑裡鎮社苓里8鄰84之1號
59617 >>> 台南市玉井區中華路379號
59618 >>> 台南市佳里區鎮山里94號之81
59621 >>> 台南市官田區官田里官田281號
59622 >>> 台南市後壁區嘉田里上茄苳91號
59623 >>> 台南市山上區南洲里3號
59625 >>> 台南市白河區仙草里仙草21-2號
