 編號		店家名稱
14236 >>> 新北市蘆洲區長安街186號
14237 >>> 新北市三重區
14238 >>> 新北市淡水區中山路45號
14241 >>> 新北市三重區三民街138號
14243 >>> 桃園市八德區
14262 >>> 桃園市中壢區中山路335號
14264 >>> 桃園市中壢區莊敬路719號
14267 >>> 桃園市中壢區前龍街51號
14268 >>> 桃園市桃園區和平路68號
14269 >>> 桃園市桃園區中正路258號
14273 >>> 桃園市桃園區南昌東街1號
14286 >>> 桃園市楊梅區中興路80巷25號
14290 >>> 桃園市大溪區中央路116號
14296 >>> 台北市大同區
14298 >>> 桃園市楊梅區
14299 >>> 桃園市中壢區中華路一段210號
14301 >>> 桃園市楊梅區市場街
14303 >>> 桃園市楊梅區市場街
14310 >>> 桃園市桃園區博愛路82號
14311 >>> 桃園市桃園區中山路106號
14312 >>> 桃園市桃園區博愛路82號
14314 >>> 桃園市桃園區永安路263號
14315 >>> 桃園市龜山區山鶯路135號
14318 >>> 桃園市中壢區
14322 >>> 桃園市桃園區
14323 >>> 桃園市大園區中山北路20號
14324 >>> 桃園市桃園區南平路227號
14328 >>> 桃園市楊梅區中正路23號
14332 >>> 新北市八里區
14337 >>> 桃園市大園區中山北路22號
14344 >>> 桃園市龜山區山鶯路52號
14366 >>> 台中市南區台中路280號
14367 >>> 台中市南區新和街201號
14370 >>> 台中市南區新和街162號
14390 >>> 台中市中區中山路137號
14393 >>> 台中市中區中山路66號
14394 >>> 台中市南屯區萬和路一段92號
14400 >>> 台中市中區中山路122號
14403 >>> 台中市西區三民路一段89號
14407 >>> 台中市中區三民路二段58號
14410 >>> 台中市中區成功路220號
14418 >>> 台中市中區成功路386號
14423 >>> 台中市中區台灣大道一段3鄰305號
14424 >>> 台中市西區永安街10號
14425 >>> 台中市中區綠川西街164號
14429 >>> 台中市南屯區黎明路一段1098號
14431 >>> 台中市西區
14441 >>> 台中市中區平等街91號
14448 >>> 台中市烏日區三民街188號
14470 >>> 台中市中區成功路186號
14471 >>> 台中市中區台灣大道一段9號
14473 >>> 台中市中區台灣大道一段138號
14474 >>> 台中市中區綠川西街79號
14475 >>> 台中市中區繼光街156號
14477 >>> 台中市中區成功路171號
14478 >>> 台中市中區中華路一段120號
14479 >>> 台中市中區平等街67號
14481 >>> 台中市中區成功路81號
14483 >>> 台中市中區中山路125號
14485 >>> 台中市北區成功路381號
14487 >>> 台中市北區中華路二段106號
14499 >>> 台中市北屯區北屯路197號
14501 >>> 台中市東區大振街11號
14502 >>> 台中市北屯區大連路一段22號
14509 >>> 台中市北屯區昌平路二段2-23號
14517 >>> 台中市大里區塗城路691號
14522 >>> 台中市西區精誠路49號
14526 >>> 台中市西屯區青海路一段127號
14534 >>> 台中市北屯區興安路一段337號
14537 >>> 台中市北屯區北屯路244號
14539 >>> 台中市霧峰區中正路870號
14547 >>> 台中市北屯區東山路一段39號
14548 >>> 台中市南屯區南屯路二段535號
14551 >>> 台中市大雅區大雅路
14554 >>> 台中市豐原區復興路41號
14558 >>> 台中市太平區太平路589號
14560 >>> 台中市太平區太平路492號
14564 >>> 台中市東區
14566 >>> 台中市中區
14567 >>> 台中市東區
14570 >>> 台中市中區
14578 >>> 台中市北區成功路424號
14580 >>> 台中市潭子區榮興街31號
14593 >>> 台中市東勢區豐勢路
14596 >>> 台中市神岡區豐原大道七段
14598 >>> 台中市神岡區民生路7號
14600 >>> 台中市豐原區府前街34號
14602 >>> 台中市南屯區大墩路819號
14612 >>> 台中市大甲區蔣公路12號
14613 >>> 台中市大甲區順天路171號
14615 >>> 台中市北區
14618 >>> 台中市北屯區部子巷
14627 >>> 台中市西屯區福雅路120號
