 編號		店家名稱
14298 >>> 桃園市楊梅區
14299 >>> 中壢區中華路一段210號
14301 >>> 楊梅區市場街
14303 >>> 楊梅區市場街
14310 >>> 桃園區博愛路82號
14311 >>> 桃園區中山路106號
14312 >>> 桃園區博愛路82號
14314 >>> 桃園區永安路263號
14315 >>> 龜山區山鶯路135號
14318 >>> 桃園市中壢區
14322 >>> 桃園市桃園區
14323 >>> 大園區中山北路20號
14324 >>> 號, No. 227南平路桃園區桃園市330
14328 >>> 楊梅區中正路23號
14332 >>> 新北市八里區
14337 >>> 大園區中山北路22號
14344 >>> 號, No. 52山鶯路龜山區桃園市333
14366 >>> 南區台中路280號
14367 >>> 南區新和街201號
14370 >>> 南區新和街162號
14390 >>> 中區中山路137號
14393 >>> 中區中山路66號
14394 >>> 南屯區萬和路一段92號
14400 >>> 中區中山路122號
14403 >>> 西區三民路一段89號
14407 >>> 中區三民路二段58號
14410 >>> 中區成功路220號
14418 >>> 中區成功路386號
14423 >>> 中區台灣大道一段3鄰305號
14424 >>> 西區永安街10號
14425 >>> 中區綠川西街164號
14429 >>> 南屯區黎明路一段1098號
14431 >>> 台中市西區
14441 >>> 中區平等街91號
14448 >>> 烏日區三民街188號
14470 >>> 中區成功路186號
14471 >>> 中區台灣大道一段9號
14473 >>> 中區台灣大道一段138號
14474 >>> 中區綠川西街79號
14475 >>> 中區繼光街156號
14477 >>> 中區成功路171號
14478 >>> 中區中華路一段120號
14479 >>> 中區平等街67號
14481 >>> 中區成功路81號
14483 >>> 中區中山路125號
14485 >>> 北區成功路381號
14487 >>> 北區中華路二段106號
14499 >>> 北屯區北屯路197號
14501 >>> 東區大振街11號
14502 >>> 北屯區大連路一段22號
14509 >>> 號, No. 2-23昌平路二段北屯區台中市406
14517 >>> 號, No. 691塗城路大里區台中市412
14522 >>> 西區精誠路49號
14526 >>> 西屯區青海路一段127號
14534 >>> 北屯區興安路一段337號
14537 >>> 北屯區北屯路244號
14539 >>> 霧峰區中正路870號
14547 >>> 北屯區東山路一段39號
14548 >>> 南屯區南屯路二段535號
14551 >>> 大雅區大雅路
14554 >>> 豐原區復興路41號
14558 >>> 太平區太平路589號
14560 >>> 太平區太平路492號
14564 >>> 台中市東區
14566 >>> 台中市中區
14567 >>> 台中市東區
14570 >>> 台中市中區
14578 >>> 北區成功路424號
14580 >>> 台中市潭子區427台中市潭子區榮興街31號
14593 >>> 東勢區豐勢路
14596 >>> 神岡區豐原大道七段
14598 >>> 神岡區民生路7號
14600 >>> 豐原區府前街34號
14602 >>> 南屯區大墩路819號
14612 >>> 大甲區蔣公路12號
14613 >>> 大甲區順天路171號
14615 >>> 台中市北區
14618 >>> 台中市北屯區部子巷
14627 >>> 號, No. 120福雅路西屯區台中市407
14628 >>> 台中市北屯區
14629 >>> 台中市太平區
14637 >>> 西屯區西屯路三段7號
14638 >>> 台中市西屯區
14643 >>> 台中市南屯區
14646 >>> 台中市大肚區
14648 >>> 大里區美群路196號
14655 >>> 豐原區中興路今日市場22號
14656 >>> 豐原區信義街55號
14657 >>> 豐原區市前街114號
14658 >>> 豐原區復興路56號
14659 >>> 豐原區和平街15號
14660 >>> 豐原區博愛街90號
14661 >>> 豐原區富春街92號
14663 >>> 豐原區中正路221號
14664 >>> 東勢區豐勢路386號
14669 >>> 台中市大里區
14670 >>> 新社區中和街四段231號
14671 >>> 台中市神岡區
14673 >>> 台中市大雅區
14684 >>> 沙鹿區新興街30號
14688 >>> 沙鹿區四平街171號
14689 >>> 清水區光復街24號
14691 >>> 台中市東勢區
14694 >>> 台中市潭子區
14698 >>> 梧棲區梧棲路139號
14699 >>> 大甲區鎮政路23號
14700 >>> 清水區中山路327號
14701 >>> 清水區中山路269號
14704 >>> 清水區文昌街19號
14705 >>> 台中市北屯區
14708 >>> 清水區文昌街27號
14716 >>> 清水區新興路73號
14730 >>> 南區灣裡路362號
14739 >>> 南區建南路239號
14749 >>> 南區鹽埕路244號
14774 >>> 中西區大同路一段22巷23號
14785 >>> 中西區西門路二段255號
14786 >>> 號, No. 10和善街中西區台南市700
14787 >>> 中西區西門路二段157號
14788 >>> 中西區西門路二段187號
14792 >>> 號, No. 282西門路二段中西區台南市700
14794 >>> 中西區民生路二段182號
14795 >>> 中西區西門路二段305號
14796 >>> 中西區民生路一段157巷23號
14797 >>> 中西區中正路84號
14799 >>> 中西區民族路三段28號
14803 >>> 中西區仁愛街24號
14806 >>> 中西區公園路49號
14807 >>> 中西區西門路二段159號
14808 >>> 中西區中正路32號
14809 >>> 中西區西門路二段280號
14814 >>> 中西區府前路一段90巷69號
14816 >>> 中西區西門路二段207號
14817 >>> 700, No. 263號西門路二段中西區台南市700
14818 >>> 中西區友愛街200號
14820 >>> 中西區西門路二段251號
14822 >>> 中西區西門路二段191號
14823 >>> 中西區西門路二段109號
14824 >>> 中西區金華路四段89號
14826 >>> 中西區西門路二段167號
14828 >>> 中西區西門路二段239號
14842 >>> 中西區西門路二段179號
14843 >>> 北區文賢路643號
14845 >>> 北區開元路154號
14854 >>> 東區裕農路593號
14855 >>> 北區開元路124號
14867 >>> 中西區西門路二段133號
14872 >>> 安南區海佃路一段185號
14874 >>> 安南區國安街105號
14876 >>> 安南區安中路三段450號
14878 >>> 台南市中西區
14879 >>> 安南區安和路五段187號
14880 >>> 台南市北區
14882 >>> 佳里區義民街166號
14885 >>> 大甲區蔣公路96號
14889 >>> 台中市潭子區
14891 >>> 霧峰區民主街
14896 >>> 安平區平生路61號
14908 >>> 台南市北區
14910 >>> 台南市北區
14911 >>> 台南市中西區
14914 >>> 安南區安中路四段20號
14916 >>> 新化區信義路
14917 >>> 2-2號 長春街 Xinying, 台南市730
14920 >>> 新營區復興路15號
14924 >>> 新化區中山路439號
14925 >>> 善化區中山路453號
14928 >>> 台南市新化區
14929 >>> 善化區中山路395號
14932 >>> 善化區文賢街20號
14933 >>> 善化區中山路476號
14934 >>> 永康區大灣路288巷1號
14935 >>> 永康區中山南路1072號
14936 >>> 永康區大灣路402號
14937 >>> 安南區安和路五段17號
14939 >>> 安南區城西街一段13號
14940 >>> 安南區城北路64號
14947 >>> 台南市仁德區
14948 >>> 台南市永康區
14949 >>> 北區東豐路603號
14950 >>> 關廟區中央路215號
14951 >>> 北區公園路862巷18號
14952 >>> 關廟區中央路175號
14955 >>> 玉井區中正路148號
14956 >>> 台南市楠西區
14957 >>> 台南市 將軍區西華里62號之43
14959 >>> 佳里區中山路329號
14961 >>> 官田區自強街7號
14963 >>> 六甲區復興街
14969 >>> 佳里區文化路253號
14973 >>> 麻豆區中正路48號
14975 >>> 台南市 將軍區西華里42號
14976 >>> 佳里區中山路255號
14978 >>> 號, No. 62中山路白河區台南市732
14979 >>> 新營區新進路二段52號
