 編號		店家名稱
17637 >>> 台企ATM(基隆分行)
17705 >>> 遠東商銀ATM(三重分行)
17707 >>> 遠東商銀ATM(永和分行)
17723 >>> 兆豐銀行ATM(天母分行)
17727 >>> 元大銀行ATM(元大寶來證券淡水分公司)
17749 >>> 台企ATM(錦和分行)
17751 >>> 台企ATM(中和分行)
17825 >>> 台企ATM(基隆分行)
17843 >>> 玉山銀行ATM(維德醫院)
17857 >>> 元大銀行ATM(元大寶來證券基隆分公司)
17874 >>> 渣打銀行ATM(八德分行)
17988 >>> 上海銀行ATM(華江分行)
18031 >>> 遠東商銀ATM(板橋南雅分行)
18045 >>> 三信銀行ATM(板橋分行)
18047 >>> 元大銀行ATM(元大寶來證券板橋分公司)
18078 >>> 上海銀行ATM(二重分行)
18106 >>> 上海銀行ATM(新莊分行)
18120 >>> 聯邦銀行ATM(汐止分行)
18167 >>> 元大銀行ATM(元大寶來證券中和分公司)
18273 >>> 安泰銀行ATM(新店分行)
18292 >>> 遠東商銀ATM(新店分行)
18325 >>> 臺灣銀行ATM(新店分行無人銀行)
18346 >>> 元大銀行ATM(新店分行)
18352 >>> 京城銀行ATM(新店分行)
18380 >>> 元大銀行ATM(特力屋B&Q新店店)
18397 >>> 台企ATM(新店分行)
18427 >>> 上海銀行ATM(永和分行)
18425 >>> 彰化銀行ATM(台灣松下CO.福利社)
18453 >>> 臺灣銀行ATM(連城分行內營業廳)
18466 >>> 元大銀行ATM(元大寶來證券南勢角分公司)
18486 >>> 第一銀行ATM(樹林分行)
18505 >>> 台企ATM(土城分行)
18585 >>> 合作金庫ATM(三峽分行)
18663 >>> 元大銀行ATM(永和分行)
18656 >>> 安泰銀行ATM(永和分行)
18769 >>> 安泰銀行ATM(瑞軒科技)
18766 >>> 國泰世華銀行ATM(萊爾富超商-北縣和立店)
18801 >>> 北富銀ATM(樹林分行)
18883 >>> 合作金庫ATM(土城分行)
18905 >>> 渣打銀行ATM(東內壢分行)
18912 >>> 國泰世華銀行ATM(捷運土城站)
18951 >>> 元大銀行ATM(元大寶來證券土城學府分公司)
18960 >>> 遠東商銀ATM(亞東醫院)
18997 >>> 國泰世華銀行ATM(全家超商-八德忠孝店)
19004 >>> 第一銀行ATM(大溪分行)
19033 >>> 北富銀ATM(和碩桃園廠)
19036 >>> 遠東商銀ATM(遠東紡織(內壢))
19029 >>> 彰化銀行ATM(桃園分行)
19025 >>> 上海銀行ATM(桃園分行)
19041 >>> 台企ATM(北桃園分行)
19063 >>> 萬泰銀行ATM(太子汽車三重廠)
19122 >>> 第一銀行ATM(長泰分行)
19125 >>> 彰化銀行ATM(西三重分行)
19181 >>> 上海銀行ATM(蘆洲分行)
19162 >>> 彰化銀行ATM(南三重分行)
19197 >>> 台企ATM(蘆洲分行)
19200 >>> 第一銀行ATM(蘆洲分行)
19317 >>> 安泰銀行ATM(新莊分行)
19318 >>> 彰化銀行ATM(南新莊分行)
19324 >>> 第一銀行ATM(丹鳳分行)
19339 >>> 板信銀行ATM(佳瑪百貨新莊店)
19364 >>> 遠東商銀ATM(新莊分行)
19368 >>> 彰化銀行ATM(湯淺電池公司)
19449 >>> 元大銀行ATM(元大寶來證券福營分公司)
19465 >>> 遠東商銀ATM(富國分行)
19474 >>> 第一銀行ATM(頭前分行)
19502 >>> 第一銀行ATM(泰山分行)
19532 >>> 第一銀行ATM(私立黎明工業專科學校)
19553 >>> 第一銀行ATM(幸福分行)
19592 >>> 國泰世華銀行ATM(全家超商-林口醒吾店)
19613 >>> 台新銀行ATM(林口東華高爾夫場)
19640 >>> 遠東商銀ATM(林口分行)
19650 >>> 台新銀行ATM(全家龜山樂高店)
19677 >>> 台新銀行ATM(全家五股蓬萊店)
19710 >>> 凱基銀行ATM(三重土地分行)
19646 >>> 彰化銀行ATM(東林口分行)
19786 >>> 永豐銀行ATM(安泰登峰大廈2F)
19842 >>> 彰化銀行ATM(淡江大學)
19958 >>> 彰化銀行ATM(新明分行)
19954 >>> 第一銀行ATM(平鎮分行)
19986 >>> 安泰銀行ATM(中壢分行)
20000 >>> 上海銀行ATM(中壢行內無人銀行)
20011 >>> 第一銀行ATM(西壢分行)
20015 >>> 彰化銀行ATM(埔心分行)
20020 >>> 遠東商銀ATM(中壢分行)
20031 >>> 北富銀ATM(台達電中壢一廠)
20042 >>> 上海銀行ATM(楊梅分行)
20051 >>> 彰化銀行ATM(北中壢分行)
20054 >>> 上海銀行ATM(大江購物中心)
20065 >>> 台灣銀行ATM(南崁分行)
20072 >>> 匯豐銀行ATM(中壢分行)
20135 >>> 第一銀行ATM(內壢分行)
20157 >>> 台企ATM(內壢分行)
20160 >>> 合作金庫ATM(中壢分行)
20190 >>> 安泰銀行ATM(西壢分行)
20198 >>> 安泰銀行ATM(桃園分行)
20211 >>> 第一銀行ATM(龍潭分行)
20244 >>> 台企ATM(龍潭分行)
20246 >>> 安泰銀行ATM(龍潭分行)
20301 >>> 渣打銀行ATM(竹北分行)
20287 >>> 台中銀行ATM(楊梅分行)
20404 >>> 日盛銀行ATM(八德分行)
20390 >>> 台新銀行ATM(全家八德大義店)
20457 >>> 台企ATM(大溪分行)
20473 >>> 北富銀ATM(台達電桃園三廠)
20481 >>> 第一銀行ATM(大園分行)
20490 >>> 台中銀行ATM(大園分行)
20496 >>> 台企ATM(大園分行)
20512 >>> 第一銀行ATM(中華航空公司桃園機場發動機修護部)
20584 >>> 遠東商銀ATM(桃園分行)
20586 >>> 聯邦銀行ATM(北桃園分行)
20601 >>> 彰化銀行ATM(億升工業股份有限公司)
20623 >>> 安泰銀行ATM(北桃園分行)
20635 >>> 台企ATM(東桃園分行)
20720 >>> 聯邦銀行ATM(國票證券南港分公司)
20730 >>> 台企ATM(北桃園分行)
20738 >>> 花旗銀行ATM(桃園分行)
20760 >>> 北富銀ATM(桃園分行)
20765 >>> 第一銀行ATM(桃園分行)
20774 >>> 上海銀行ATM(金鼎證券)
20793 >>> 三信銀行ATM(桃園分行)
20851 >>> 上海銀行ATM(台中分行)
20843 >>> 三信銀行ATM(大智分行)
20857 >>> 三信銀行ATM(台中市政府)
20860 >>> 三信銀行ATM(國光分行)
20886 >>> 遠東商銀ATM(文心分行)
20890 >>> 上海銀行ATM(元大證券)
20918 >>> 花旗銀行ATM(豐原分行)
20915 >>> 上海銀行ATM(廣三SOGO)
20921 >>> 合作金庫ATM(東沙鹿分行)
20922 >>> 台中銀行ATM(埔里基督教醫院)
20929 >>> 台灣銀行ATM(嘉北分行)
20935 >>> 日盛銀行ATM(嘉義分行)
20939 >>> 永豐銀行ATM(智原科技)
20940 >>> 遠東商銀ATM(科園分行)
20941 >>> 台企ATM(嘉義分行)
20998 >>> 三信銀行ATM(營業部)
20986 >>> 台灣銀行ATM(健行分行)
21010 >>> 三信銀行ATM(南門分行)
21037 >>> 聯邦銀行ATM(興中分行)
21048 >>> 元大商業銀行ATM(復興分行)
21061 >>> 聯邦銀行ATM(民權分行)
21136 >>> 三信銀行ATM(南屯分行)
21171 >>> 板信銀行ATM(台中國碩遊樂場)
21172 >>> 日盛銀行ATM(日盛台中)
21180 >>> 三信銀行ATM(林森分行)
21183 >>> 臺灣銀行ATM(台中市議會)
21191 >>> 渣打銀行ATM(幼獅工業區)
21235 >>> 永豐銀行ATM(萊爾富桃縣富竹店)
21262 >>> 台企ATM(南崁分行)
21314 >>> 新光銀行ATM(桃北分行)
21301 >>> 北富銀ATM(麗嬰房物流中心)
21305 >>> 遠東商銀ATM(大興分行)
21288 >>> 第一銀行ATM(南崁分行)
21349 >>> 北富銀ATM(北台中分行)
21351 >>> 三信銀行ATM(進化分行)
21374 >>> 三信銀行ATM(北屯分行)
21389 >>> 元大銀行ATM(崇德分行)
21440 >>> 第一銀行ATM(東勢分行)
21471 >>> 元大銀行ATM(元大寶來證券向上分公司)
21521 >>> 台灣銀行ATM(臺中工業區分行)
21527 >>> 台灣銀行ATM(台灣菸酒公司台中酒廠)
21612 >>> 台企ATM(潭子分行)
21596 >>> 台新銀行ATM(全家潭子真興店)
21622 >>> 台灣銀行ATM(豐原區公所)
21623 >>> 日盛銀行ATM(大里分行)
21626 >>> 台中銀行ATM(沙鹿分行)
21757 >>> 永豐銀行ATM(萊爾富台中中都店)
21758 >>> 元大銀行ATM(元大證券西屯分公司)
21741 >>> 三信銀行ATM(西屯分行)
21729 >>> 聯邦銀行ATM(西屯分行)
21820 >>> 台企ATM(太平分行)
21814 >>> 台中銀行ATM(太平分行)
21873 >>> 元大銀行ATM(大里分行)
21934 >>> 台中銀行ATM(內新分行)
21947 >>> 台中銀行ATM(大竹分行)
21948 >>> 元大銀行ATM(元大寶來證券大里分公司)
21957 >>> 元大銀行ATM(彰化分行)
21960 >>> 第一銀行ATM(草屯分行)
21981 >>> 台中銀行ATM(霧峰分行)
21986 >>> 彰化銀行ATM(霧峰分行)
22005 >>> 台中銀行ATM(后里分行)
22021 >>> 台中銀行ATM(外埔鄉甲后路)
