編號		地址
40902 >>> 桃園市楊梅區梅高路91號
40907 >>> 桃園市大溪區員林路二段386號
40926 >>> 新竹縣關西鎮中山路47號
41013 >>> 桃園市觀音區大觀路二段193號
41026 >>> 桃園市桃園區大業路一段294號
41062 >>> 桃園市蘆竹區南福街33號
41075 >>> 桃園市楊梅區民生街67號
41096 >>> 新竹縣湖口鄉成功路198號
41177 >>> 桃園市蘆竹區大竹路452號
41014 >>> 桃園市觀音區成功路一段645號
41120 >>> 桃園市龜山區文化七路62號
40573 >>> 桃園市八德區福國街162號
40893 >>> 桃園市楊梅區瑞溪路二段157號
40281 >>> 新北市鶯歌區建國路280-1號
40919 >>> 桃園市中壢區興仁路三段17號
41007 >>> 桃園市桃園區寶慶路207號
41113 >>> 桃園市八德區興豐路766號
40965 >>> 桃園市平鎮區民族路229號
41069 >>> 桃園市龜山區大同路92號
40785 >>> 桃園市龜山區文德路100號
40497 >>> 新北市土城區水源街46號
40603 >>> 新北市三峽區中華路28巷2號
40875 >>> 桃園市龍潭區中興路290巷8號
42524 >>> 高雄市梓官區漁港二路32號
40238 >>> 新北市樹林區鎮前街77號
40508 >>> 新北市樹林區柑園街二段18號
42315 >>> 高雄市鼓山區美術南二路50號1樓
42307 >>> 高雄市三民區大豐二路132號
40484 >>> 桃園市蘆竹區南山路三段303號
40483 >>> 桃園市桃園區龍壽街119號
40480 >>> 桃園市八德區永豐路552號
40481 >>> 桃園市桃園區莊敬路一段322號
40482 >>> 桃園市桃園區南平路502號
41529 >>> 台中市烏日區興祥街189號
41235 >>> 桃園市桃園區龍泉六街20號
39596 >>> 台北市中山區玉門街1號
39980 >>> 新北市深坑區深坑街8號
42712 >>> 台東縣台東市富岡街305號
42025 >>> 高雄市六龜區和平路93號
40546 >>> 新北市鶯歌區國際二路6巷18號
42775 >>> 苗栗縣通霄鎮中山路99號
41570 >>> 台中市沙鹿區中航路一段542號
41903 >>> 台南市新市區中興街14號
40233 >>> 新北市新莊區中正路80號
40247 >>> 新北市新莊區中正路80號
42248 >>> 高雄市鳳山區經武路276號
42467 >>> 高雄市鳥松區學堂路50號
42303 >>> 高雄市鳥松區美山路46-2號
42693 >>> 高雄市鳥松區學堂路22、42號
42669 >>> 高雄市大樹區建村街155號
42331 >>> 高雄市楠梓區青埔街218號
41803 >>> 台南市安南區長溪路一段2號
40842 >>> 新北市三重區永安北路一段11巷18弄4號
41947 >>> 台南市新化區民生路215號
39559 >>> 台北市信義區松高路19號
42026 >>> 台南市下營區中山路一段301號
40319 >>> 宜蘭縣礁溪鄉礁溪路五段38號
40447 >>> 宜蘭縣礁溪鄉和平路120號
40328 >>> 宜蘭縣頭城鎮開蘭路339、261號
41547 >>> 台中市外埔區大同里甲后路三段962號
41712 >>> 台中市梧棲區中興路69號
41788 >>> 彰化縣伸港鄉中興路一段186號
41423 >>> 台中市北屯區昌平路三段185號
41419 >>> 台中市大雅區中清路四段747號
41613 >>> 彰化縣和美鎮彰新路三段127號
41538 >>> 台中市后里區甲后路一段288號
41612 >>> 彰化縣花壇鄉中正路88號
41541 >>> 台中市后里區公安路125號
41349 >>> 台中市龍井區中央路二段116號
41422 >>> 台中市大雅區神林南路197巷46號
41614 >>> 彰化縣大村鄉大仁路一段98號
41333 >>> 台中市大肚區福利路238-5號
41548 >>> 台中市神岡區豐洲路535-1號
41294 >>> 台中市南屯區黎明路一段332號
41770 >>> 彰化縣埔鹽鄉中正路45號
41430 >>> 台中市清水區鎮新北路41號
41720 >>> 台中市龍井區沙田路六段325號
41417 >>> 台中市龍井區國際街70-7號
41347 >>> 台中市外埔區甲后路五段308號
41420 >>> 台中市潭子區大豐路三段36號
42800 >>> 屏東縣東港鎮長春一路80號
42789 >>> 屏東縣新園鄉仙吉路32號
41831 >>> 台南市東區崇道路22、24號
42312 >>> 高雄市鳳山區五福二路32號
40429 >>> 新北市中和區福祥路72號
40054 >>> 基隆市仁愛區精一路15號1樓
42355 >>> 高雄市左營區自由三路20號
41288 >>> 台中市西屯區太原路一段85號
41320 >>> 台中市北區健行路447號
42676 >>> 高雄市鳳山區光復路107號
40931 >>> 桃園市平鎮區貿五路12、18號
41857 >>> 台南市永康區中山南路282號
40150 >>> 新北市五股區成泰路一段235號
40858 >>> 宜蘭縣頭城鎮開蘭路149號
40301 >>> 新北市汐止區龍安路28巷6號
42177 >>> 嘉義市東區吳鳳南路529號
42179 >>> 嘉義縣朴子市嘉朴路西段9號
42819 >>> 屏東縣屏東市民族路202號
42544 >>> 高雄市小港區店北路157號
