 編號		店家名稱
50119 >>> 中華宗南學佛會
50120 >>> 佛蓮山法願寺
50121 >>> 下塔悠福德爺宮/金玉禪寺
50123 >>> 境靈廟
50124 >>> 松山順天宮
50125 >>> 壽山宮
50126 >>> 北天宮
50127 >>> 吉福宮
50129 >>> 延吉福德宮
50131 >>> 信義興雅宮福德正神
50132 >>> 法雲寺
50133 >>> 妙侊寺
50134 >>> 興雅福德宮
50135 >>> 佛光山如來殿
50136 >>> 臺北地藏禪寺
50137 >>> 信義玉天宮
50138 >>> 北星寶宮
50139 >>> 信義天后宮
50140 >>> 慈悟寺
50141 >>> 松德宮
50142 >>> 福佑宮
50143 >>> 聖賢宮
50144 >>> 開臺聖王成功廟
50145 >>> 保順宮
50146 >>> 中坡福壽宮
50147 >>> 南港聖德宮
50149 >>> 台北慈惠堂
50150 >>> 無極天王
50153 >>> 下塔悠鎮安宮蕭府王爺
50154 >>> 西新福德宮
50156 >>> 富南宮
50157 >>> 代天殿靈雲宮
50158 >>> 陽明山慈惠堂
50159 >>> 永吉 福德宮
50160 >>> 聖德慈惠堂
50161 >>> 萬應宮
50162 >>> 財團法人台北市中華佛教文化館
50163 >>> 拇指慈惠堂
50164 >>> 永吉玉明宮
50166 >>> 財團法人桃園市壽山巖觀音寺
50167 >>> 靜修宮
50168 >>> 天達堂
50169 >>> 昭安宮
50170 >>> 土地公(下內埔福安宮)
50171 >>> 新北投善光寺
50172 >>> 芝山巖惠濟宮
50174 >>> 鎮山宮
50175 >>> 法鼓山 內湖辦事處
50177 >>> 武聚宮
50178 >>> 海會寺
50179 >>> 板橋宏法禪寺
50180 >>> 法鼓山北投辦事處
50181 >>> 新莊慈祐宮
50183 >>> 淡水龍山寺
50185 >>> 正願禪寺
50186 >>> 大雄寶殿
50187 >>> 台北市圓明宮
50188 >>> 圓通巖
50189 >>> 新福宮
50190 >>> 【蘇善堂】福德宮/蘇姑娘廟
50191 >>> 新安宮
50192 >>> 劍潭福正宮
50193 >>> 九龍堂
50194 >>> 崇德宮
50195 >>> 景新宮
50196 >>> 蓮門山禪院
50198 >>> 明山寺福天宮
50199 >>> 台北松澤宮
50200 >>> 靈聖宮
50201 >>> 湧泉寺
50202 >>> 大直植福宮
50203 >>> 九府仙師普惠堂
50204 >>> 居地陰公【有應祠】
50205 >>> 明山寺
50208 >>> 台北原始佛教中道禪院
50209 >>> 蓮池禪寺
50211 >>> 台灣雪謙具瑪卻林佛學會
50213 >>> 中庄仔福德宮
50214 >>> 永明寺
50218 >>> 中華民國三寶顯密佛學會
50219 >>> 九龍宮
50220 >>> 北玄財神宮
50221 >>> 敏卓林台北中心
