 編號		店家名稱
50937 >>> 北海天公廟
50938 >>> 福惠宮
50943 >>> 石門雪山玄武廟
50944 >>> 屯山古聖廟行忠堂
50945 >>> 三芝玉仙宮
50946 >>> 靈巖寺(滴水觀音)
50949 >>> 秀明宮
50952 >>> 廣欽寺
50954 >>> 聖南寺 頂寺
50969 >>> 佛所護念廟
50973 >>> 虎爺廟
50975 >>> 聖南寺
50976 >>> 八里五福宮
50979 >>> 福德宮
50982 >>> 九份摩梨山 長眉藥師精舍
50983 >>> 金山堂
50986 >>> 壽山宮
50987 >>> 金山福德宮
50990 >>> 白雲禪寺
50991 >>> 財團法人新北市金山慈音寺
50992 >>> 天佛禪寺
50994 >>> 保安宮
50995 >>> 福安宮
50996 >>> 上德宮
50997 >>> 坪林山林關聖宮
50999 >>> 正覺寺
51002 >>> 飛燕山正覺寺
51003 >>> 深坑福德宮
51004 >>> 土地公(梘腳坑土地公廟)
51005 >>> 深坑烏月三清巖
51006 >>> 天龍宮
51007 >>> 天南宮
51008 >>> 玄道宮
51009 >>> 玉旨無極慈母宮
51013 >>> 行德慈惠堂
51016 >>> 文山天寶聖道宮
51017 >>> 龍法禪寺
51020 >>> 玄清宮
51021 >>> 玄義宮
51022 >>> 元帥爺廟
51023 >>> 月老和合二仙殿
51024 >>> 石碇彭山天后宮
51025 >>> 玄元寶德宮
51026 >>> 石碇劉伯溫廟
51028 >>> 龍星殿
51031 >>> 雲台山大羅金仙府
51033 >>> 石碇玉天宮
51034 >>> 玉旨堂
51046 >>> 玉京山 大羅上仙府
51047 >>> 協德宮
51048 >>> 妙音寺
51059 >>> 觀音門總堂
51060 >>> 深坑山西宮
51076 >>> 汐止福瑞宮
51082 >>> 尖山福德宮
51088 >>> 台北玉勒建凌宮
51107 >>> 法聖宮
51108 >>> 茄苳添福宮
51112 >>> 汐止 恩德宮
51115 >>> 三聖宮
51120 >>> 萬應祠
51121 >>> 新福宮
51124 >>> 楞嚴閣
51125 >>> 白雲福德宮
51128 >>> 福佑宮
51133 >>> 法聖宮
51135 >>> 下福里洪福宮福德正神
51136 >>> 獅頭岩仙公廟(廟中廟)
51140 >>> 天寧寺
51143 >>> 崇聖廟
51145 >>> 福德宮
51146 >>> 大羅金仙總廟
51156 >>> 有求必應公廟
51157 >>> 達香寺
51158 >>> 清水巖祖師廟
51159 >>> 無極地母廟
51164 >>> 土地公(中楒仔腳福德宮)
51166 >>> 天公廟
51173 >>> 昭惠廟
51175 >>> 慶雲宮
51184 >>> 法主宮
51191 >>> 聖泉寺
51195 >>> 福安宮
51198 >>> 山神廟
51202 >>> 金福宮
51203 >>> 福壽宮
51205 >>> 上天福安宮
51214 >>> 玉皇大帝宮廟
51217 >>> 九份四號福德祠
51220 >>> 雙溪無量光寺
51222 >>> 五聖宮
51225 >>> 真言宗遍照王寺
51228 >>> 福安宮
51230 >>> 慧法禪寺
51234 >>> 福林宮
51239 >>> 清涼山天寧寺
51241 >>> 金瓜石保民堂
51247 >>> 白馬尊王廟
51259 >>> 瑤池宮
51273 >>> 慈安宮
51281 >>> 民主公王宮
51290 >>> 【雲仙宮】福德正神
51291 >>> 九玄聖宮
51294 >>> 廣明寺
51295 >>> 屈尺岐山巖清水祖師廟
51296 >>> 平溪彌陀禪寺
51298 >>> 十方大法寺
51299 >>> 普陀靈寺
51300 >>> 慈航宮
51301 >>> 嶺腳福安宮
51303 >>> 石硿子百年土地公廟
51304 >>> 東勢格福德廟
51306 >>> 土地公廟
51307 >>> 大法寺
51308 >>> 南山寺管理委員會
51314 >>> 下坑福德祠
51322 >>> 坪林崑山慈瑤宮
51323 >>> 土地公(網形山土地公廟)
51328 >>> 雙溪口福德宮
51330 >>> 大溪頭寮水中土地公廟
51331 >>> 聖龍宮
51333 >>> 牡丹天元福生宮
51334 >>> 麻竹坑福德祠
51335 >>> 同安宮
51337 >>> 玉仙宮
51340 >>> 大溪後山土地公廟
51341 >>> 九份明聖宮
51342 >>> 瑞平大眾爺廟
51344 >>> 草嶺古道埡口土地公廟
51351 >>> 慶山慈惠堂
51354 >>> 牡丹心福德宮
51355 >>> 華嚴寺
51365 >>> 日月洞廣照禪寺
51376 >>> 新烏路 長興宮
51384 >>> 新龍宮
51388 >>> 土地公(三湖宮)
51390 >>> 新店二十張土地公廟
51393 >>> 新店五路財神廟
51394 >>> 瑤池宮
51396 >>> 玄聖宮
51401 >>> 日興宮
51403 >>> 福安宮
51407 >>> 新店北宜先帝宮-神農大帝
51409 >>> 新店慈光寺
51411 >>> 直潭長興宮
51412 >>> 新店 慶德宮 福德正神
51414 >>> 普賢寺
51417 >>> 廣福宮
51427 >>> 東山碧軒寺
51434 >>> 中和土地公廟
51467 >>> 烘爐地財神殿
51469 >>> 湖山巖
51474 >>> 龍興廟
51477 >>> 福德正神
51478 >>> 土地公廟
51484 >>> 澳底慶安廟
51488 >>> 龍山巖
51489 >>> 將軍廟
51500 >>> 芳苑王功壽山宮-池府王爺
51511 >>> 永和港口清聖宮
51512 >>> 頂福巖 顯應祖師廟
51517 >>> 南無地藏王菩薩
51518 >>> 蓮光寺
51525 >>> 吳仔厝土地公廟
51531 >>> 福德正神
51538 >>> 一如慈惠堂
51543 >>> 【聖天宮】土地公廟/桐花客棧
51544 >>> 玉皇太子宮
51547 >>> 土城土地廟
51548 >>> 福山天惠堂
51555 >>> Lingjing Temple
51563 >>> 仙公廟
51564 >>> 龍泉山寺
51575 >>> 沛波金安宮
51577 >>> 新竹縣關西鎮南新里永和宮
51587 >>> 北源天山無極靈山宮
51591 >>> 佛山寺
